Film ID,Genre ID
0,1
0,2
0,3
1,1
1,4
1,2
2,1
2,4
2,2
3,1
3,4
3,5
4,1
4,4
4,3
5,1
5,4
5,6
6,1
6,4
6,3
7,1
7,4
7,3
8,1
8,2
8,7
9,1
9,4
9,5
10,1
10,4
10,3
11,1
11,4
11,6
12,1
12,4
12,3
13,1
13,3
14,1
14,4
14,3
15,1
15,4
15,3
16,1
16,4
16,3
17,1
17,4
17,5
18,1
18,4
18,5
19,1
19,4
19,5
20,1
20,4
20,2
21,1
21,4
21,2
22,1
22,4
22,2
23,1
23,4
23,3
24,1
24,3
25,1
25,4
25,3
26,1
26,4
26,5
27,1
27,4
27,3
28,1
28,4
28,5
29,1
29,4
29,2
30,1
30,4
30,2
31,1
31,4
31,2
32,1
32,4
32,3
33,1
33,4
33,5
34,1
34,4
34,5
35,1
35,3
36,1
36,4
36,5
37,1
37,4
37,3
38,1
38,4
38,2
39,1
39,5
40,1
40,4
40,2
41,1
41,4
41,2
42,1
42,4
42,5
43,1
43,4
43,5
44,1
44,4
44,5
45,1
45,4
45,5
