Film ID,Title,Year,Runtime (min),Rotten Tomatoes Rating (%),Box Office ($),Franchise
0,Ant-Man,2015,117,83,180202163,MCU
1,Ant-Man and the Wasp,2018,118,87,216648740,MCU
2,Ant-Man and the Wasp: Quantumania,2023,124,47,212557514,MCU
3,Aquaman,2018,143,65,335104314,DCEU
4,Avengers: Age of Ultron,2015,141,76,459005868,MCU
5,Avengers: Endgame,2019,181,94,858373000,MCU
6,Avengers: Infinity War,2018,149,85,678815482,MCU
7,Batman v Superman: Dawn of Justice,2016,151,29,330360194,DCEU
8,Birds of Prey,2020,109,78,84172791,DCEU
9,Black Adam,2022,125,38,168152111,DCEU
10,Black Panther,2018,134,96,700426566,MCU
11,Black Panther: Wakanda Forever,2022,161,84,453829060,MCU
12,Black Widow,2021,134,79,183651655,MCU
13,Captain America: Civil War,2016,147,90,408084349,MCU
14,Captain America: The First Avenger,2011,124,80,176654505,MCU
15,Captain America: The Winter Soldier,2014,136,90,259766572,MCU
16,Captain Marvel,2019,123,79,426829839,MCU
17,Doctor Strange,2016,115,89,232641920,MCU
18,Doctor Strange in the Multiverse of Madness,2022,126,74,411331607,MCU
19,Eternals,2021,156,47,164870234,MCU
20,Guardians of the Galaxy,2014,121,92,333718600,MCU
21,Guardians of the Galaxy Vol. 2,2017,136,85,389813101,MCU
22,Iron Man,2008,126,94,319034126,MCU
23,Iron Man 2,2010,124,71,312433331,MCU
24,Iron Man 3,2013,130,79,409013994,MCU
25,Justice League,2017,120,39,229024295,DCEU
26,Man of Steel,2013,143,56,291045518,DCEU
27,Shang-Chi and the Legend of the Ten Rings,2021,132,91,224543292,MCU
28,Shazam!,2019,132,90,140480049,DCEU
29,Shazam! Fury of the Gods,2023,130,49,57474575,DCEU
30,Spider-Man: Far from Home,2019,129,90,390532085,MCU
31,Spider-Man: Homecoming,2017,133,92,334201140,MCU
32,Spider-Man: No Way Home,2021,148,93,814115070,MCU
33,Suicide Squad,2016,123,26,325100054,DCEU
34,The Avengers,2012,143,91,623357910,MCU
35,The Incredible Hulk,2008,112,67,134806913,MCU
36,The Suicide Squad,2021,132,90,55817425,DCEU
37,Thor,2011,115,77,181030624,MCU
38,Thor: Love and Thunder,2022,118,63,343256830,MCU
39,Thor: Ragnarok,2017,130,93,315058289,MCU
40,Thor: The Dark World,2013,112,66,206362140,MCU
41,Wonder Woman,2017,141,93,412845172,DCEU
42,Wonder Woman 1984,2020,151,58,46801036,DCEU
43,Zack Snyder's Justice League,2021,242,71,0,DCEU
