Film ID,Title,Year,Rated,Released,Runtime (min),Director,Writer,Actors,Rotten Tomatoes Rating (%),Metascore,IMDB Rating,Box Office ($),Franchise
0,Ant-Man,2015,PG-13,2015-07-17,117,Peyton Reed,"Edgar Wright, Joe Cornish, Adam McKay","Paul Rudd, Michael Douglas, Corey Stoll",83,64,7.3,180202163,MCU
1,Ant-Man and the Wasp,2018,PG-13,2018-07-06,118,Peyton Reed,"Chris McKenna, Erik Sommers, Paul Rudd","Paul Rudd, Evangeline Lilly, Michael Peña",87,70,7.0,216648740,MCU
2,Ant-Man and the Wasp: Quantumania,2023,PG-13,2023-02-17,124,Peyton Reed,"Jeff Loveness, Stan Lee, Larry Lieber","Paul Rudd, Evangeline Lilly, Michael Douglas",47,48,6.1,214496697,MCU
3,Aquaman,2018,PG-13,2018-12-21,143,James Wan,"David Leslie Johnson-McGoldrick, Will Beall, Geoff Johns","Jason Momoa, Amber Heard, Willem Dafoe",65,55,6.8,335104314,DCEU
4,Avengers: Age of Ultron,2015,PG-13,2015-05-01,141,Joss Whedon,"Joss Whedon, Stan Lee, Jack Kirby","Robert Downey Jr., Chris Evans, Mark Ruffalo",76,66,7.3,459005868,MCU
5,Avengers: Endgame,2019,PG-13,2019-04-26,181,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Evans, Mark Ruffalo",94,78,8.4,858373000,MCU
6,Avengers: Infinity War,2018,PG-13,2018-04-27,149,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",85,68,8.4,678815482,MCU
7,Batman v Superman: Dawn of Justice,2016,PG-13,2016-03-25,151,Zack Snyder,"Chris Terrio, David S. Goyer, Bob Kane","Ben Affleck, Henry Cavill, Amy Adams",29,44,6.4,330360194,DCEU
8,Birds of Prey,2020,R,2020-02-07,109,Cathy Yan,"Christina Hodson, Paul Dini, Bruce Timm","Margot Robbie, Rosie Perez, Mary Elizabeth Winstead",79,60,6.1,84172791,DCEU
9,Black Adam,2022,PG-13,2022-10-21,125,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines, Sohrab Noshirvani","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",38,41,6.3,168152111,DCEU
10,Black Panther,2018,PG-13,2018-02-16,134,Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",96,88,7.3,700426566,MCU
11,Black Panther: Wakanda Forever,2022,PG-13,2022-11-11,161,Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee","Letitia Wright, Lupita Nyong'o, Danai Gurira",84,67,6.7,453829060,MCU
12,Black Widow,2021,PG-13,2021-07-09,134,Cate Shortland,"Eric Pearson, Jac Schaeffer, Ned Benson","Scarlett Johansson, Florence Pugh, David Harbour",79,68,6.7,183651655,MCU
13,Captain America: Civil War,2016,PG-13,2016-05-06,147,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Robert Downey Jr., Scarlett Johansson",90,75,7.8,408084349,MCU
14,Captain America: The First Avenger,2011,PG-13,2011-07-22,124,Joe Johnston,"Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Hugo Weaving, Samuel L. Jackson",80,66,6.9,176654505,MCU
15,Captain America: The Winter Soldier,2014,PG-13,2014-04-04,136,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Samuel L. Jackson, Scarlett Johansson",90,70,7.8,259766572,MCU
16,Captain Marvel,2019,PG-13,2019-03-08,123,"Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck, Geneva Robertson-Dworet","Brie Larson, Samuel L. Jackson, Ben Mendelsohn",79,64,6.8,426829839,MCU
17,Doctor Strange,2016,PG-13,2016-11-04,115,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",89,72,7.5,232641920,MCU
18,Doctor Strange in the Multiverse of Madness,2022,PG-13,2022-05-06,126,Sam Raimi,"Michael Waldron, Stan Lee, Steve Ditko","Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor",74,60,6.9,411331607,MCU
19,Eternals,2021,PG-13,2021-11-05,156,Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie",47,52,6.3,164870234,MCU
20,Guardians of the Galaxy,2014,PG-13,2014-08-01,121,James Gunn,"James Gunn, Nicole Perlman, Dan Abnett","Chris Pratt, Vin Diesel, Bradley Cooper",92,76,8.0,333718600,MCU
21,Guardians of the Galaxy Vol. 2,2017,PG-13,2017-05-05,136,James Gunn,"James Gunn, Dan Abnett, Andy Lanning","Chris Pratt, Zoe Saldana, Dave Bautista",85,67,7.6,389813101,MCU
22,Guardians of the Galaxy Vol. 3,2023,PG-13,2023-05-05,150,James Gunn,James Gunn,"Chris Pratt, Chukwudi Iwuji, Bradley Cooper",81,64,8.2,345110355,MCU
23,Iron Man,2008,PG-13,2008-05-02,126,Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",94,79,7.9,319034126,MCU
24,Iron Man 2,2010,PG-13,2010-05-07,124,Jon Favreau,"Justin Theroux, Stan Lee, Don Heck","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow",71,57,6.9,312433331,MCU
